Region,MedialTemporal,RightParietalTemporal,LeftParietalTemporal,Precuneus,Occipital,LateralFrontal,Sensorimotor,Orbitofrontal
lh_bankssts,3.71522333353774e-17,4.40004184954833e-17,0.166301466027713,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
lh_caudalanteriorcingulate,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,2.42556772732941e-14,0.0152350837648451,0.0624047594950316
lh_caudalmiddlefrontal,3.71522333353774e-17,4.40004184954833e-17,0.0256385193960495,0.0522289156175162,3.67508471034948e-17,0.0348917518763337,3.16924148242712e-17,2.79416022805089e-17
lh_cuneus,3.71522333353774e-17,4.40004184954833e-17,0.000511110491180533,0.000339102798166967,0.132396192943245,1.91661785888211e-15,1.65153019488251e-11,3.31198571421833e-17
lh_entorhinal,0.143298994377219,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
lh_frontalpole,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,0.0715349592225423,3.16924148242712e-17,0.00953049121933836
lh_fusiform,0.0484856658550406,4.40004184954833e-17,0.109893970503752,3.4810435974743e-17,1.82205369129361e-09,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
lh_inferiorparietal,3.71522333353774e-17,4.40004184954833e-17,0.104643445476593,0.0437140132394483,3.67508471034948e-17,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
lh_inferiortemporal,0.0273782222206091,4.40004184954833e-17,0.140210919814568,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
lh_insula,0.0277447298146439,4.40004184954833e-17,5.14480827689713e-14,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,0.00963118878498774,0.0552010106062664
lh_isthmuscingulate,0.0157870609793338,4.40004184954833e-17,0.00538153630408849,0.102482327883893,3.67508471034948e-17,2.10285112934379e-14,3.16924148242712e-17,1.14928508617771e-12
lh_lateraloccipital,3.71522333353774e-17,4.40004184954833e-17,0.0385928140656077,3.4810435974743e-17,0.104427964088655,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
lh_lateralorbitofrontal,0.000287841491347423,4.40004184954833e-17,0.00985096017930375,3.4810435974743e-17,3.67508471034948e-17,0.0254191300571758,2.46314980650485e-13,0.0579314267132624
lh_lingual,0.00317129103462778,4.40004184954833e-17,0.0156953842422569,1.2080521009376e-15,0.0875190767027271,3.04772009766612e-17,0.0220785435640333,7.79773119403279e-09
lh_medialorbitofrontal,0.000478372091728022,4.40004184954833e-17,2.95991536107887e-10,3.4810435974743e-17,3.67508471034948e-17,8.57666788706066e-13,2.28377707934572e-15,0.0792748410669009
lh_middletemporal,0.00528161466386921,4.40004184954833e-17,0.155594832728246,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
lh_paracentral,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,0.099362989553068,1.86962597727065e-06
lh_parahippocampal,0.121520822469487,4.40004184954833e-17,1.23405992920675e-06,3.49161338346219e-07,4.25196918895653e-08,6.81262036063764e-14,0.00942520446920954,0.00105461436299442
lh_parsopercularis,3.71522333353774e-17,4.40004184954833e-17,0.030317972398369,2.70543558113091e-14,3.67508471034948e-17,0.0729892644252702,0.000543094254085277,3.42853346147468e-10
lh_parsorbitalis,1.35201199985306e-16,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,0.0896553364682604,1.02580698762849e-05,0.00661456731081168
lh_parstriangularis,3.71522333353774e-17,4.40004184954833e-17,3.94540920671297e-09,3.4810435974743e-17,3.30245552697503e-15,0.0862373869917118,0.0101529208732375,1.08717455673979e-08
